browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,146.0.0.0,1470,956,MacOS,en-GB,2026-04-22_20:30:28,2026-04-22_21:30:28,2026-04-22_19:15:07,https://www.testable.org/experiment/20537/230921/start,209.252

rowNo,type,stim1,color,key,condition1,condition2,feedback,trialText,stimFormat,ITI,button1,keyboard,random,required,head,responseType,responseOptions,stimSize,string,rarity,color_noncolor,Zipf.SUBTLEX_UK,Length,combined_condition,congruence_condition,1:2,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"55",test,GREEN,stim1: green,"3",critical,congruent,"","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"8","","","",NA,175%,green,common,color,"5.22","5",common_color,congruent,"2",400,23,"17.39",110148,"3",936,"1",""
"80",test,APEX,stim1: black,"1",filler,control,"","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"8","","","",NA,175%,apex,rare,noncolor,"2.96","4",rare_noncolor,control,NA,400,24,"16.67",111104,"1",559,"1",""
"23",test,AQUA,stim1: green,"3",filler,control,"","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"8","","","",NA,175%,aqua,rare,color,"2.98","4",rare_color,control,"2",399,24,"16.63",112267,"3",771,"1",""
"69",test,OCHRE,stim1: brown,"4",filler,control,"","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"8","","","",NA,175%,ochre,rare,color,"2.77","5",rare_color,control,"2",400,24,"16.68",113167,"4",505,"1",""
"81",test,APEX,stim1: blue,"2",filler,control,"","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"8","","","",NA,175%,apex,rare,noncolor,"2.96","4",rare_noncolor,control,NA,400,24,"16.67",114199,"2",637,"1",""
"34",test,BLUE,stim1: blue,"2",critical,congruent,"","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"8","","","",NA,175%,blue,common,color,"5.16","4",common_color,congruent,"1",400,24,"16.66",115039,"2",443,"1",""
"22",test,AQUA,stim1: green,"3",filler,control,"","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"8","","","",NA,175%,aqua,rare,color,"2.98","4",rare_color,control,"1",400,24,"16.67",116173,"3",745,"1",""
"39",test,BLUE,stim1: green,"3",critical,incongruent,"","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"8","","","",NA,175%,blue,common,color,"5.16","4",common_color,incongruent,"2",400,24,"16.67",117324,"3",762,"1",""
"28",test,BLACK,stim1: brown,"4",critical,incongruent,"","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"8","","","",NA,175%,black,common,color,"5.26","5",common_color,incongruent,"1",400,24,"16.67",118493,"4",781,"1",""
"104",test,SMALL,stim1: black,"1",filler,control,"","Press 1 for BLACK, <br>2 for <span style=""color:blue;"">BLUE</span>, <br>3 for <span style=""color:green;"">GREEN</span>, and <br>4 for <span style=""color:brown;"">BROWN</span>",word,"400","",1 2 3 4,"8","","","",NA,175%,small,common,noncolor,"5.43","5",common_noncolor,control,NA,400,24,"16.67",119640,"1",761,"1",""
