type,stim1,color,key,condition1,condition2,feedback,trialText,stimFormat,ITI,button1,keyboard,random,required,title,content,head,responseType,responseOptions,string,rarity,color_noncolor,Zipf.SUBTLEX_UK,Length,combined_condition,congruence_condition,1:2,stimSize
test,SEPIA,stim1: brown,4,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,sepia,rare,color,2.38,5,rare_color,control,2,175%
test,SEPIA,stim1: green,3,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,sepia,rare,color,2.38,5,rare_color,control,1,175%
test,SEPIA,stim1: green,3,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,sepia,rare,color,2.38,5,rare_color,control,2,175%
test,APEX,stim1: black,1,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,apex,rare,noncolor,2.96,4,rare_noncolor,control,NA,175%
test,APEX,stim1: blue,2,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,apex,rare,noncolor,2.96,4,rare_noncolor,control,NA,175%
test,APEX,stim1: brown,4,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,apex,rare,noncolor,2.96,4,rare_noncolor,control,NA,175%
test,APEX,stim1: green,3,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,apex,rare,noncolor,2.96,4,rare_noncolor,control,NA,175%
test,BIG,stim1: black,1,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,big,common,noncolor,5.94,3,common_noncolor,control,NA,175%
test,BIG,stim1: blue,2,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,big,common,noncolor,5.94,3,common_noncolor,control,NA,175%
test,BIG,stim1: brown,4,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,big,common,noncolor,5.94,3,common_noncolor,control,NA,175%
test,BIG,stim1: green,3,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,big,common,noncolor,5.94,3,common_noncolor,control,NA,175%
test,FAST,stim1: black,1,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,fast,common,noncolor,5.09,4,common_noncolor,control,NA,175%
test,FAST,stim1: blue,2,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,fast,common,noncolor,5.09,4,common_noncolor,control,NA,175%
test,FAST,stim1: brown,4,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,fast,common,noncolor,5.09,4,common_noncolor,control,NA,175%
test,FAST,stim1: green,3,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,fast,common,noncolor,5.09,4,common_noncolor,control,NA,175%
test,IRK,stim1: black,1,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,irk,rare,noncolor,1.95,3,rare_noncolor,control,NA,175%
test,IRK,stim1: blue,2,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,irk,rare,noncolor,1.95,3,rare_noncolor,control,NA,175%
test,IRK,stim1: brown,4,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,irk,rare,noncolor,1.95,3,rare_noncolor,control,NA,175%
test,IRK,stim1: green,3,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,irk,rare,noncolor,1.95,3,rare_noncolor,control,NA,175%
test,NYMPH,stim1: black,1,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,nymph,rare,noncolor,2.72,5,rare_noncolor,control,NA,175%
test,NYMPH,stim1: blue,2,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,nymph,rare,noncolor,2.72,5,rare_noncolor,control,NA,175%
test,NYMPH,stim1: brown,4,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,nymph,rare,noncolor,2.72,5,rare_noncolor,control,NA,175%
test,NYMPH,stim1: green,3,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,nymph,rare,noncolor,2.72,5,rare_noncolor,control,NA,175%
test,SLOW,stim1: black,1,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,slow,common,noncolor,4.81,4,common_noncolor,control,NA,175%
test,SLOW,stim1: blue,2,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,slow,common,noncolor,4.81,4,common_noncolor,control,NA,175%
test,SLOW,stim1: brown,4,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,slow,common,noncolor,4.81,4,common_noncolor,control,NA,175%
test,SLOW,stim1: green,3,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,slow,common,noncolor,4.81,4,common_noncolor,control,NA,175%
test,SMALL,stim1: black,1,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,small,common,noncolor,5.43,5,common_noncolor,control,NA,175%
test,SMALL,stim1: blue,2,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,small,common,noncolor,5.43,5,common_noncolor,control,NA,175%
test,SMALL,stim1: brown,4,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,small,common,noncolor,5.43,5,common_noncolor,control,NA,175%
test,SMALL,stim1: green,3,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,small,common,noncolor,5.43,5,common_noncolor,control,NA,175%
test,TUSK,stim1: black,1,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,tusk,rare,noncolor,3,4,rare_noncolor,control,NA,175%
test,TUSK,stim1: blue,2,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,tusk,rare,noncolor,3,4,rare_noncolor,control,NA,175%
test,TUSK,stim1: brown,4,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,tusk,rare,noncolor,3,4,rare_noncolor,control,NA,175%
test,TUSK,stim1: green,3,filler,control,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,tusk,rare,noncolor,3,4,rare_noncolor,control,NA,175%
