type,stim1,color,key,condition1,condition2,feedback,trialText,stimFormat,ITI,button1,keyboard,random,required,title,content,head,responseType,responseOptions,string,rarity,color_noncolor,Zipf.SUBTLEX_UK,Length,combined_condition,congruence_condition,1:2,stimSize
test,BLACK,stim1: blue,2,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,black,common,color,5.26,5,common_color,incongruent,2,175%
test,BLACK,stim1: brown,4,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,black,common,color,5.26,5,common_color,incongruent,1,175%
test,BLACK,stim1: brown,4,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,black,common,color,5.26,5,common_color,incongruent,2,175%
test,BLACK,stim1: green,3,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,black,common,color,5.26,5,common_color,incongruent,1,175%
test,BLACK,stim1: green,3,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,black,common,color,5.26,5,common_color,incongruent,2,175%
test,BLUE,stim1: black,1,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,blue,common,color,5.16,4,common_color,incongruent,1,175%
test,BLUE,stim1: black,1,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,blue,common,color,5.16,4,common_color,incongruent,2,175%
test,BLUE,stim1: blue,2,critical,congruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,blue,common,color,5.16,4,common_color,congruent,1,175%
test,BLUE,stim1: blue,2,critical,congruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,blue,common,color,5.16,4,common_color,congruent,2,175%
test,BLUE,stim1: brown,4,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,blue,common,color,5.16,4,common_color,incongruent,1,175%
test,BLUE,stim1: brown,4,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,blue,common,color,5.16,4,common_color,incongruent,2,175%
test,BLUE,stim1: green,3,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,blue,common,color,5.16,4,common_color,incongruent,1,175%
test,BLUE,stim1: green,3,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,blue,common,color,5.16,4,common_color,incongruent,2,175%
test,BROWN,stim1: black,1,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,brown,common,color,5.01,5,common_color,incongruent,1,175%
test,BROWN,stim1: black,1,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,brown,common,color,5.01,5,common_color,incongruent,2,175%
test,BROWN,stim1: blue,2,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,brown,common,color,5.01,5,common_color,incongruent,1,175%
test,BROWN,stim1: blue,2,critical,incongruent,,"Press 1 for BLACK, <br>2 for 
    <span style=""color:blue;"">BLUE</span>, <br>3 for 
    <span style=""color:green;"">GREEN</span>, 
    and <br>4 for <span style=""color:brown;"">BROWN</span>",word,400,,1 2 3 4,8,,,,,,NA,brown,common,color,5.01,5,common_color,incongruent,2,175%
